com_insee,com_nom,reg_nom,dep_nom,latitude_mairie,longitude_mairie,score_de_ville
22037,La Chapelle-Neuve,Bretagne,Côtes-d'Armor,48.466,-3.441,0.3087890921752086
22109,Lanloup,Bretagne,Côtes-d'Armor,48.71,-2.969,0.3348414604913309
22331,Sainte-Tréphine,Bretagne,Côtes-d'Armor,48.267,-3.169,0.2982748912341095
22236,Pludual,Bretagne,Côtes-d'Armor,48.667,-2.987,0.3251017772017535
22085,Kerbors,Bretagne,Côtes-d'Armor,48.824,-3.182,0.3079039764894004
22018,Brélidy,Bretagne,Côtes-d'Armor,48.649,-3.228,0.3140657262647765
22350,Tréduder,Bretagne,Côtes-d'Armor,48.654,-3.566,0.3071493436049118
22169,Peumerit-Quintin,Bretagne,Côtes-d'Armor,48.364,-3.283,0.2772168503691181
22126,Le Leslay,Bretagne,Côtes-d'Armor,48.424,-2.965,0.2962081246427428
22043,Coëtlogon,Bretagne,Côtes-d'Armor,48.133,-2.544,0.296746360949655
22334,Saint-Igeaux,Bretagne,Côtes-d'Armor,48.278,-3.115,0.2948451462514778
22174,Pléboulle,Bretagne,Côtes-d'Armor,48.595,-2.334,0.3232916437360934
22365,Trémargat,Bretagne,Côtes-d'Armor,48.33,-3.267,0.3240364300229438
22148,Mérillac,Bretagne,Côtes-d'Armor,48.249,-2.391,0.2883406071217989
22373,Tréogan,Bretagne,Côtes-d'Armor,48.187,-3.53,0.2987337497449545
22088,Kerien,Bretagne,Côtes-d'Armor,48.409,-3.23,0.2976391703347735
22041,Coatascorn,Bretagne,Côtes-d'Armor,48.67,-3.256,0.306248028076217
22235,Plouzélambre,Bretagne,Côtes-d'Armor,48.648,-3.537,0.3122933418016539
22305,Saint-Jouan-de-l'Isle,Bretagne,Côtes-d'Armor,48.266,-2.178,0.3644379843425614
22095,Landebaëron,Bretagne,Côtes-d'Armor,48.638,-3.205,0.3103279787976315
22009,Le Bodéo,Bretagne,Côtes-d'Armor,48.326,-2.922,0.2922940093362864
22289,Saint-Fiacre,Bretagne,Côtes-d'Armor,48.455,-3.052,0.2848837249990471
22383,Troguéry,Bretagne,Côtes-d'Armor,48.761,-3.225,0.309239060629469
22274,Saint-André-des-Eaux,Bretagne,Côtes-d'Armor,48.373,-2.014,0.3085087157077111
22074,Le Haut-Corlay,Bretagne,Côtes-d'Armor,48.341,-3.032,0.3003425940561846
22368,Tréméreuc,Bretagne,Côtes-d'Armor,48.561,-2.064,0.3542078710381103
22320,Saint-Nicodème,Bretagne,Côtes-d'Armor,48.354,-3.339,0.3007887020444719
22139,Magoar,Bretagne,Côtes-d'Armor,48.402,-3.177,0.3002189337299114
22129,Loc-Envel,Bretagne,Côtes-d'Armor,48.51,-3.41,0.2984954999720657
22124,Lescouët-Gouarec,Bretagne,Côtes-d'Armor,48.169,-3.207,0.3044115859613054
22112,Lannebert,Bretagne,Côtes-d'Armor,48.651,-3.009,0.2987168128191122
22318,Saint-Michel-de-Plélan,Bretagne,Côtes-d'Armor,48.463,-2.222,0.3222913222842431
22267,Rouillac,Bretagne,Côtes-d'Armor,48.307,-2.369,0.3294341537177031
22057,Le Faouët,Bretagne,Côtes-d'Armor,48.679,-3.073,0.3096839250626571
22091,Kermoroc'h,Bretagne,Côtes-d'Armor,48.614,-3.203,0.3598465823610092
22205,Plorec-sur-Arguenon,Bretagne,Côtes-d'Armor,48.463,-2.301,0.284708794359816
22029,Canihuel,Bretagne,Côtes-d'Armor,48.337,-3.096,0.3094689140674407
22027,Le Cambout,Bretagne,Côtes-d'Armor,48.059,-2.621,0.3011756054437943
22328,Saint-Servais,Bretagne,Côtes-d'Armor,48.387,-3.374,0.3243327167663751
22152,Minihy-Tréguier,Bretagne,Côtes-d'Armor,48.768,-3.258,0.3539591729906824
22315,Saint-Maudez,Bretagne,Côtes-d'Armor,48.455,-2.183,0.3314546322652926
23152,Pierrefitte,Nouvelle-Aquitaine,Creuse,46.152,2.233,0.2878509698356204
23109,Linard-Malval,Nouvelle-Aquitaine,Creuse,46.367,1.876,0.28179467342149
23266,La Villetelle,Nouvelle-Aquitaine,Creuse,45.924,2.338,0.3296416174022108
23227,Saint-Pardoux-Morterolles,Nouvelle-Aquitaine,Creuse,45.905,1.829,0.3099996890245632
23237,Saint-Priest-Palus,Nouvelle-Aquitaine,Creuse,45.895,1.676,0.2781253405626238
23225,Saint-Oradoux-près-Crocq,Nouvelle-Aquitaine,Creuse,45.889,2.376,0.2955174183788669
23222,Saint-Michel-de-Veisse,Nouvelle-Aquitaine,Creuse,45.954,2.05,0.3091780025383113
23171,Sermur,Nouvelle-Aquitaine,Creuse,45.97,2.415,0.2827994979152333
23262,Vigeville,Nouvelle-Aquitaine,Creuse,46.16,2.073,0.2948606916619228
23226,Saint-Pardoux-d'Arnet,Nouvelle-Aquitaine,Creuse,45.882,2.326,0.2781476698824937
23037,Bussière-Nouvelle,Nouvelle-Aquitaine,Creuse,46.014,2.42,0.2928778238036764
23051,La Chapelle-Saint-Martial,Nouvelle-Aquitaine,Creuse,46.025,1.922,0.302352950157807
23074,Le Donzeil,Nouvelle-Aquitaine,Creuse,46.035,1.985,0.3032519062084882
23215,Saint-Martial-le-Vieux,Nouvelle-Aquitaine,Creuse,45.69,2.308,0.3035708186504278
23027,Bosmoreau-les-Mines,Nouvelle-Aquitaine,Creuse,46.002,1.754,0.3078599844684584
23052,La Chapelle-Taillefert,Nouvelle-Aquitaine,Creuse,46.114,1.834,0.3231217107482765
23113,Lupersat,Nouvelle-Aquitaine,Creuse,45.99,2.358,0.2788282740648188
23200,Saint-Goussaud,Nouvelle-Aquitaine,Creuse,46.031,1.561,0.2990690004487837
23160,Reterre,Nouvelle-Aquitaine,Creuse,46.107,2.468,0.308232866265315
23010,Augères,Nouvelle-Aquitaine,Creuse,46.08,1.728,0.290664996452158
23184,Saint-Bard,Nouvelle-Aquitaine,Creuse,45.913,2.408,0.3013325777823843
23181,Saint-Amand-Jartoudeix,Nouvelle-Aquitaine,Creuse,45.918,1.669,0.311583425378447
23212,Saint-Marc-à-Loubaud,Nouvelle-Aquitaine,Creuse,45.843,1.991,0.2917839227068105
23117,Maison-Feyne,Nouvelle-Aquitaine,Creuse,46.347,1.67,0.2820176022826727
23068,Cressat,Nouvelle-Aquitaine,Creuse,46.134,2.093,0.306602354668676
23214,Saint-Martial-le-Mont,Nouvelle-Aquitaine,Creuse,46.05,2.091,0.2797955049719062
23006,Arrènes,Nouvelle-Aquitaine,Creuse,46.072,1.567,0.2928992249485337
23005,Arfeuille-Châtain,Nouvelle-Aquitaine,Creuse,46.06,2.435,0.2864985775576513
23070,Crozant,Nouvelle-Aquitaine,Creuse,46.382,1.613,0.327146290756734
23041,La Cellette,Nouvelle-Aquitaine,Creuse,46.401,2.01,0.3341581241094135
23122,Mansat-la-Courrière,Nouvelle-Aquitaine,Creuse,45.965,1.796,0.3063153756759429
23107,Lépinas,Nouvelle-Aquitaine,Creuse,46.059,1.937,0.3072858475646638
23228,Saint-Pardoux-le-Neuf,Nouvelle-Aquitaine,Creuse,45.936,2.228,0.3075773801555487
23178,Saint-Agnant-près-Crocq,Nouvelle-Aquitaine,Creuse,45.806,2.338,0.3219054963065069
23044,Chambon-Sainte-Croix,Nouvelle-Aquitaine,Creuse,46.353,1.77,0.2832645130286782
23059,La Chaussade,Nouvelle-Aquitaine,Creuse,45.988,2.249,0.2976285195230363
23017,Basville,Nouvelle-Aquitaine,Creuse,45.858,2.412,0.2915929775742298
23082,Fleurat,Nouvelle-Aquitaine,Creuse,46.232,1.683,0.3175993825422108
23170,Savennes,Nouvelle-Aquitaine,Creuse,46.109,1.886,0.3025660503489754
23224,Saint-Oradoux-de-Chirouze,Nouvelle-Aquitaine,Creuse,45.729,2.325,0.3018177618484678
23166,Sagnat,Nouvelle-Aquitaine,Creuse,46.313,1.624,0.289824821522847
23203,Saint-Julien-la-Genête,Nouvelle-Aquitaine,Creuse,46.142,2.475,0.3038632026227457
23188,Saint-Dizier-les-Domaines,Nouvelle-Aquitaine,Creuse,46.323,2.047,0.2823184717678944
23055,Châtelard,Nouvelle-Aquitaine,Creuse,45.964,2.467,0.299915867127189
23053,Chard,Nouvelle-Aquitaine,Creuse,45.95,2.49,0.2934836678807575
23204,Saint-Julien-le-Châtel,Nouvelle-Aquitaine,Creuse,46.118,2.27,0.2795371905536788
23050,La Chapelle-Baloue,Nouvelle-Aquitaine,Creuse,46.359,1.569,0.3075198856495181
23172,La Serre-Bussière-Vieille,Nouvelle-Aquitaine,Creuse,46.056,2.335,0.2649517071967946
23098,Jalesches,Nouvelle-Aquitaine,Creuse,46.295,2.082,0.2931832411856913
23083,Fontanières,Nouvelle-Aquitaine,Creuse,46.107,2.519,0.3399112467074365
23111,Lizières,Nouvelle-Aquitaine,Creuse,46.209,1.572,0.3061424973454706
23198,Saint-Georges-Nigremont,Nouvelle-Aquitaine,Creuse,45.836,2.273,0.3075736557591002
23043,Chamberaud,Nouvelle-Aquitaine,Creuse,46.05,2.044,0.3155382367894751
23078,Faux-Mazuras,Nouvelle-Aquitaine,Creuse,45.922,1.78,0.3212488138003753
23209,Saint-Loup,Nouvelle-Aquitaine,Creuse,46.146,2.281,0.2864830442893376
23150,Peyrabout,Nouvelle-Aquitaine,Creuse,46.101,1.916,0.305149631472445
23240,Saint-Silvain-Bas-le-Roc,Nouvelle-Aquitaine,Creuse,46.332,2.218,0.2858288501996399
23243,Saint-Silvain-sous-Toulx,Nouvelle-Aquitaine,Creuse,46.26,2.188,0.2910396508876536
23138,Moutier-d'Ahun,Nouvelle-Aquitaine,Creuse,46.1,2.063,0.2945998427527923
23088,Gartempe,Nouvelle-Aquitaine,Creuse,46.152,1.726,0.2952404811126602
23066,Le Compas,Nouvelle-Aquitaine,Creuse,46.004,2.453,0.304006180978667
23065,Colondannes,Nouvelle-Aquitaine,Creuse,46.288,1.617,0.3151866146918216
23218,Saint-Maurice-près-Crocq,Nouvelle-Aquitaine,Creuse,45.858,2.315,0.2948926235071309
23086,Fransèches,Nouvelle-Aquitaine,Creuse,46.029,2.04,0.2904507724343521
23260,Vidaillat,Nouvelle-Aquitaine,Creuse,45.955,1.898,0.3001274026088368
23108,Leyrat,Nouvelle-Aquitaine,Creuse,46.358,2.294,0.2813329102699951
